course_title,course_code,prerequisites,section,session,credits,campus,instructor,times,location,course_description,themes,year,semester,restriction,course_level,course_type
DATA STRUCTURES,CS121,"CS111,CS120",C,15W,3,AUA Main Campus,Monika Stepanyan,"TUE 10:30am-11:50am, THU 10:30am-11:50am",Classroom 313W Paramaz Avedissian Building,"The course explores topics including: basic object-oriented programming principles; linear and non-linear data structures – linked lists, stacks, queues, trees, tables and graphs; dynamic memory management; design of algorithms and programs for creating and processing data structures; searching and sorting algorithms. Students are required to complete programming projects in which they design, analyze, and develop complex data structures in at least one programming language. Three hours of instructor-led class time per week including discussions and problem sets.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Lower level,Computer Science Program's core or track elective course
DATA STRUCTURES,CS121,"CS111,CS120",D,15W,3,AUA Main Campus,Varduhi Yeghiazaryan,"TUE 12:00pm-1:20pm, THU 12:00pm-1:20pm",Classroom 413W Paramaz Avedissian Building,"The course explores topics including: basic object-oriented programming principles; linear and non-linear data structures – linked lists, stacks, queues, trees, tables and graphs; dynamic memory management; design of algorithms and programs for creating and processing data structures; searching and sorting algorithms. Students are required to complete programming projects in which they design, analyze, and develop complex data structures in at least one programming language. Three hours of instructor-led class time per week including discussions and problem sets.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Lower level,Computer Science Program's core or track elective course
DATA STRUCTURES,CS121,"CS111,CS120",E,15W,3,AUA Main Campus,Abik Aramian,"TUE 1:30pm-2:50pm, THU 1:30pm-2:50pm",Classroom 413W Paramaz Avedissian Building,"The course explores topics including: basic object-oriented programming principles; linear and non-linear data structures – linked lists, stacks, queues, trees, tables and graphs; dynamic memory management; design of algorithms and programs for creating and processing data structures; searching and sorting algorithms. Students are required to complete programming projects in which they design, analyze, and develop complex data structures in at least one programming language. Three hours of instructor-led class time per week including discussions and problem sets.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Lower level,Computer Science Program's core or track elective course
COMPUTER ORGANIZATION,CS130,EQOOP,A,15W,3,AUA Main Campus,David B Davidian,"MON 10:30am-11:20am, WED 10:30am-11:20am, FRI 10:30am-11:20am",Classroom 414W Paramaz Avedissian Building,"Functional organization and operation of digital computers. Coverage of assembly language; addressing, stacks, argument passing, arithmetic operations, decisions, macros, modularization, linkers, debuggers. Device drivers will be considered. Instructor-led class time including problem sets and discussions.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Lower level,Computer Science Program's core or track elective course
COMPUTER ORGANIZATION,CS130,EQOOP,B,15W,3,AUA Main Campus,David B Davidian,"MON 11:30am-12:20pm, WED 11:30am-12:20pm, FRI 11:30am-12:20pm",Classroom 414W Paramaz Avedissian Building,"Functional organization and operation of digital computers. Coverage of assembly language; addressing, stacks, argument passing, arithmetic operations, decisions, macros, modularization, linkers, debuggers. Device drivers will be considered. Instructor-led class time including problem sets and discussions.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Lower level,Computer Science Program's core or track elective course
COMPUTER ORGANIZATION,CS130,EQOOP,C,15W,3,AUA Main Campus,Norayr Chilingaryan,"MON 12:30pm-1:20pm, WED 12:30pm-1:20pm, FRI 12:30pm-1:20pm",Classroom 414W Paramaz Avedissian Building,"Functional organization and operation of digital computers. Coverage of assembly language; addressing, stacks, argument passing, arithmetic operations, decisions, macros, modularization, linkers, debuggers. Device drivers will be considered. Instructor-led class time including problem sets and discussions.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Lower level,Computer Science Program's core or track elective course
OPTIMIZATION,CS213,"CS102,CS112",0,15w,3,AUA Main Campus,Nerses Srapionyan,TBD,Not specified,"The course explores the following topics: optimization problems; dogleg and hookstep methods; simulated annealing; approximation algorithms; introduction to game theory; scheduling; basic optimization models in financial markets; nonlinear continuous optimization; conjugate gradient methods, Newton-type methods. Through the course, students will develop the ability to critically analyze and solve problems using advanced knowledge related to optimization and contemporary methods in optimization techniques. Students will also develop proficiency in designing and analyzing complex data structures and algorithms. Additionally, students are required to complete individual projects in order to develop their ability to discover and learn relevant material on their own. Three hours of instructor-led class time per week including discussions and problem sets.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Upper level,Computer Science Program's core or track elective course
CRYPTOGRAPHY,CS215,CS211,0,15W,3,AUA Main Campus,Sergey Abrahamyan,"MON 11:30am-12:20pm, WED 11:30am-12:20pm, FRI 11:30am-12:20pm",Classroom 614M Main Building,Introduction of basic principles and methods of modern applied cryptography. Demonstration how cryptography can help to solve information security problems and our focus will be basically internet security.,Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Upper level,Computer Science Program's core or track elective course
DATABASE SYSTEMS,CS222,EQDATASTRC,A,15W,3,AUA Main Campus,Aleksandr Hayrapetyan,"TUE 9:00am-10:20am, THU 9:00am-10:20am",Classroom 608M Main Building,"Introduction to databases, the Entity-Relationship (ER) Model and conceptual database design, the relational model and relational algebra (RA), SQL. Topics include data storage, indexing, and hashing; cost evaluating RA operators, query evaluation as well as transaction management, concurrency control and recovery; relational schema refinement, functional dependencies, and normalization; physical database design, database tuning; security and authorization of parallel and distributed database systems; data warehousing and decision support, views. In addition, introduction to Data Mining and various applications will be covered. Three hours of instructor-led class time per week including discussions and problem sets.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Upper level,Computer Science Program's core or track elective course
DATABASE SYSTEMS,CS222,EQDATASTRC,B,15W,3,AUA Main Campus,Dalita Artin Avanesian,"TUE 9:00am-10:20am, THU 9:00am-10:20am",Classroom 408E Paramaz Avedissian Building,"Introduction to databases, the Entity-Relationship (ER) Model and conceptual database design, the relational model and relational algebra (RA), SQL. Topics include data storage, indexing, and hashing; cost evaluating RA operators, query evaluation as well as transaction management, concurrency control and recovery; relational schema refinement, functional dependencies, and normalization; physical database design, database tuning; security and authorization of parallel and distributed database systems; data warehousing and decision support, views. In addition, introduction to Data Mining and various applications will be covered. Three hours of instructor-led class time per week including discussions and problem sets.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Upper level,Computer Science Program's core or track elective course
DATABASE SYSTEMS,CS222,EQDATASTRC,C,15W,3,AUA Main Campus,Dalita Artin Avanesian,"TUE 10:30am-11:45am, THU 10:30am-11:45am",Classroom 408E Paramaz Avedissian Building,"Introduction to databases, the Entity-Relationship (ER) Model and conceptual database design, the relational model and relational algebra (RA), SQL. Topics include data storage, indexing, and hashing; cost evaluating RA operators, query evaluation as well as transaction management, concurrency control and recovery; relational schema refinement, functional dependencies, and normalization; physical database design, database tuning; security and authorization of parallel and distributed database systems; data warehousing and decision support, views. In addition, introduction to Data Mining and various applications will be covered. Three hours of instructor-led class time per week including discussions and problem sets.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Upper level,Computer Science Program's core or track elective course
MATH MODELING APPLICATIONS,CS226,CS105,0,15W,3,AUA Main Campus,Varazdat Stepanyan,"MON 12:30pm-1:20pm, WED 12:30pm-1:20pm, FRI 12:30pm-1:20pm",Classroom 422M/424M Main Building,"This course introduces mathematical modeling and computational techniques for the simulation of a large variety of engineering and physical systems. The students will be able to apply real-world problem solving skills relating to modeling real-life scenarios from the natural sciences, business, social sciences, and finance. The applications for simulations are drawn from various fields and industries such as aerospace, mechanical, electrical, chemical and biological engineering, and materials science. Instructor-led discussion, along with reading, written, and practical assignments.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Upper level,Computer Science Program's core or track elective course
COMPILER DESIGN,CS236,CS130,0,15w,3,AUA Main Campus,Norayr Chilingaryan,"TUE 12:00pm-1:20pm, THU 12:00pm-1:20pm",Classroom 202M Main Building,"An introduction to the basic phases of modern compilers and their design principles. Topics covered include CPU instruction, finite state machines, lexical scanning, parsing schemes, code generation and translation, comparison of modern programming languages. As part of the course, students build a working compiler for an object-oriented language. Three hours of instructor-led class time per week including discussions and problem sets.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Upper level,Computer Science Program's core or track elective course
ARTIFICIAL INTELLIGENCE,CS246,EQALGORTHM,A,15W,3,AUA Main Campus,Vahram Tadevosyan,"TUE 10:30am-11:45am, THU 10:30am-11:45am",Classroom 314W Paramaz Avedissian Building,"This course provides an introduction to the field of artificial intelligence, considering search as the fundamental technique for solving problems in AI. Various types of search (uninformed, informed, local) will be introduced and discussed, along with their application to solve problems in navigation, optimization, constraint satisfaction problems, planning, playing games, etc. Instructor-led discussions and problem sets.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Upper level,Computer Science Program's core or track elective course
ARTIFICIAL INTELLIGENCE,CS246,EQALGORTHM,B,15W,3,AUA Main Campus,Monika Stepanyan,"MON 10:30am-11:20am, WED 10:30am-11:20am, FRI 10:30am-11:20am",Classroom 422M/424M Main Building,"This course provides an introduction to the field of artificial intelligence, considering search as the fundamental technique for solving problems in AI. Various types of search (uninformed, informed, local) will be introduced and discussed, along with their application to solve problems in navigation, optimization, constraint satisfaction problems, planning, playing games, etc. Instructor-led discussions and problem sets.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Upper level,Computer Science Program's core or track elective course
ARTIFICIAL INTELLIGENCE,CS246,EQALGORTHM,C,15W,3,AUA Main Campus,Monika Stepanyan,"MON 11:30am-12:20pm, WED 11:30am-12:20pm, FRI 11:30am-12:20pm",Classroom 422M/424M Main Building,"This course provides an introduction to the field of artificial intelligence, considering search as the fundamental technique for solving problems in AI. Various types of search (uninformed, informed, local) will be introduced and discussed, along with their application to solve problems in navigation, optimization, constraint satisfaction problems, planning, playing games, etc. Instructor-led discussions and problem sets.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Upper level,Computer Science Program's core or track elective course
MACHINE LEARNING,CS251,"CS104,CS108",A,15W,3,AUA Main Campus,Aram Butavyan,"TUE 12:00pm-1:20pm, THU 12:00pm-1:20pm",Classroom 414W Paramaz Avedissian Building,"This course introduces the fundamental concepts and methods of machine learning, focusing on how computers can learn from data to uncover hidden insights without explicit programming. Topics include supervised learning, unsupervised learning, and best practices in machine learning, with numerous examples from real-world applications. The course includes instructor-led discussions and problem sets to reinforce the material.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Upper level,Computer Science Program's core or track elective course
MACHINE LEARNING,CS251,"CS104,CS108",B,15W,3,AUA Main Campus,Sachin Kumar,"MON 2:30pm-3:20pm, WED 2:30pm-3:20pm, FRI 2:30pm-3:20pm",Classroom 307E Paramaz Avedissian Building,"This course introduces the fundamental concepts and methods of machine learning, focusing on how computers can learn from data to uncover hidden insights without explicit programming. Topics include supervised learning, unsupervised learning, and best practices in machine learning, with numerous examples from real-world applications. The course includes instructor-led discussions and problem sets to reinforce the material.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Upper level,Computer Science Program's core or track elective course
IMAGE PROCESSING,CS260,"CS104,CS112,CS121,CS211",0,15W,3,AUA Main Campus,Suren Khachatryan,"TUE 9:00am-10:15am, THU 9:00am-10:15am",Classroom 315E Paramaz Avedissian Building,"This course is a practical introduction to digital image processing. It covers the key methods and connects the mathematical foundations with programming implementation. Algorithmic descriptions of several approaches may include: image analysis, image representation and storage, image de-noising and restoration, compression techniques, two-dimensional discrete Fourier transform, spatial and frequency domain, linear and, optionally, nonlinear image filtering, edge detection, image segmentation and the basics of digital video processing. Instructor-led class time is supported by practical exercises and problem sets.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Upper level,Computer Science Program's core or track elective course
INDEPENDENT STUDY,CS299,No prerequisite(s) for this course,0,Not specified,1,AUA Main Campus,Hrachya Kocharyan,TBD,Not specified,Not specified,Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Upper level,Computer Science Program's core or track elective course
THEORY OF COMPUTING,CS310,No prerequisite(s) for this course,A,15W,3,AUA Main Campus,Suren Khachatryan,"MON 10:30am-11:20am, WED 10:30am-11:20am, FRI 10:30am-11:20am",Classroom 313W Paramaz Avedissian Building,"Theory of computation comprises the fundamental mathematical properties of computer hardware, software, and applications. This theory deals with computational models (or abstract machines) and investigates computational power of these models. The finite automata, pushdown automata and Turing machines are the computational models that are widely used in applications and theoretical research. This course aims to provide students with a foundation for using these models both for practical and theoretical needs.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Masters level,Computer Science Program's core or track elective course
THEORY OF COMPUTING,CS310,No prerequisite(s) for this course,B,15W,3,AUA Main Campus,Suren Khachatryan,"MON 11:30am-12:20pm, WED 11:30am-12:20pm, FRI 11:30am-12:20pm",Classroom 313W Paramaz Avedissian Building,"Theory of computation comprises the fundamental mathematical properties of computer hardware, software, and applications. This theory deals with computational models (or abstract machines) and investigates computational power of these models. The finite automata, pushdown automata and Turing machines are the computational models that are widely used in applications and theoretical research. This course aims to provide students with a foundation for using these models both for practical and theoretical needs.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Masters level,Computer Science Program's core or track elective course
OBJECT-ORIENTED ANALYSIS AND DESIGN,CS312,No prerequisite(s) for this course,0,15W,3,AUA Main Campus,Armen Kostanyan,"TUE 10:30am-11:50am, THU 10:30am-11:50am",Classroom 426M Main Building,"The UP (Unified Process) and the principle of iterative and incremental software development, UP artifacts, usage of UML (Unified Modeling Language) notation for representation results of analysis and design, studying and applying of design patterns, usage of CASE (ComputerAssisted Software Engineering) tools to aid in analysis and design.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Masters level,Computer Science Program's core or track elective course
ADVANCED TOPICS IN ALGORITHMS,CS313,No prerequisite(s) for this course,0,15W,3,AUA Main Campus,Armen Kostanyan,"TUE 9:00am-10:20am, THU 9:00am-10:20am",Classroom 202M Main Building,"This course will review basic paradigms of algorithm design such as divide-and-conquer, dynamic programming, greedy algorithms, graph algorithms; and then explore some of the more advance topics such as Network Flow and Bipartite Matchings, NP-completeness, Approximation Algorithms, and other selected topics. Instructor-led discussions and problem sets.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Masters level,Computer Science Program's core or track elective course
CRYPTOGRAPHY,CS315,No prerequisite(s) for this course,0,15W,3,AUA Main Campus,Sergey Abrahamyan,"MON 11:30am-12:20pm, WED 11:30am-12:20pm, FRI 11:30am-12:20pm",Classroom 614M Main Building,"Introduction of basic principles and methods of modern applied cryptography. Demonstration how cryptography can help to solve information security problems and our focus will be basically internet security. Students will learn to understand and evaluate real life security problems that cryptography can solve. They will also discuss various open problems in applied cryptography. Finally, students will implement cryptographic primitives used in common real applications. Three hours of instructor-led class time per week including discussions and problem sets.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Masters level,Computer Science Program's core or track elective course
DATABASE SYSTEMS,CS326,No prerequisite(s) for this course,A,15W,3,AUA Main Campus,Aleksandr Hayrapetyan,"TUE 9:00am-10:15am, THU 9:00am-10:15am",Classroom 608M Main Building,"Introduction to databases, the Entity-Relationship (ER) Model and conceptual database design, the relational model and relational algebra (RA), SQL. Topics include data storage, indexing, and hashing; cost evaluating RA operators, query evaluation as well as transaction management, concurrency control and recovery; relational schema refinement, functional dependencies, and normalization; physical database design, database tuning; security and authorization of parallel and distributed database systems; data warehousing and decision support, views. In addition, introduction to Data Mining and various applications will be covered. Three hours of instructor-led class time per week including discussions and problem sets.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Masters level,Computer Science Program's core or track elective course
DATABASE SYSTEMS,CS326,No prerequisite(s) for this course,B,15W,3,AUA Main Campus,Dalita Artin Avanesian,"TUE 9:00am-10:15am, THU 9:00am-10:15am",Classroom 408E Paramaz Avedissian Building,"Introduction to databases, the Entity-Relationship (ER) Model and conceptual database design, the relational model and relational algebra (RA), SQL. Topics include data storage, indexing, and hashing; cost evaluating RA operators, query evaluation as well as transaction management, concurrency control and recovery; relational schema refinement, functional dependencies, and normalization; physical database design, database tuning; security and authorization of parallel and distributed database systems; data warehousing and decision support, views. In addition, introduction to Data Mining and various applications will be covered. Three hours of instructor-led class time per week including discussions and problem sets.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Masters level,Computer Science Program's core or track elective course
DATABASE SYSTEMS,CS326,No prerequisite(s) for this course,C,15W,3,AUA Main Campus,Dalita Artin Avanesian,"TUE 10:30am-11:45am, THU 10:30am-11:45am",Classroom 408E Paramaz Avedissian Building,"Introduction to databases, the Entity-Relationship (ER) Model and conceptual database design, the relational model and relational algebra (RA), SQL. Topics include data storage, indexing, and hashing; cost evaluating RA operators, query evaluation as well as transaction management, concurrency control and recovery; relational schema refinement, functional dependencies, and normalization; physical database design, database tuning; security and authorization of parallel and distributed database systems; data warehousing and decision support, views. In addition, introduction to Data Mining and various applications will be covered. Three hours of instructor-led class time per week including discussions and problem sets.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Masters level,Computer Science Program's core or track elective course
OPERATING SYSTEMS,CS331,No prerequisite(s) for this course,A,15W,3,AUA Main Campus,Albert Minasyan,"MON 8:30am-9:20am, WED 8:30am-9:20am, FRI 8:30am-9:20am",Classroom 308E Paramaz Avedissian Building,The organization and structure of modern operating systems. System level programming in Windows and Unix Operating Systems.,Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Masters level,Computer Science Program's core or track elective course
OPERATING SYSTEMS,CS331,Linux System Programming,B,15W,3,AUA Main Campus,Ara Gevorgyan,"TUE 9:00am-10:20am, THU 9:00am-10:20am",Classroom 614M Main Building,The organization and structure of modern operating systems. System level programming in Windows and Unix Operating Systems.,Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Masters level,Computer Science Program's core or track elective course
COMPILER DESIGN,CS336,CS130,0,15W,3,AUA Main Campus,Norayr Chilingaryan,"TUE 12:00pm-1:20pm, THU 12:00pm-1:20pm",Classroom 202M Main Building,"An introduction to the basic phases of modern compilers and their design principles. Topics covered include CPU instruction, finite state machines, lexical scanning, parsing schemes, code generation and translation, comparison of modern programming languages, and an analysis of the relationship between compilers and operating systems. As part of the course, students build a working compiler for an object-oriented language. Three hours of instructor-led class time per week including discussions and problem sets.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Masters level,Computer Science Program's core or track elective course
MACHINE LEARNING,CS340,No prerequisite(s) for this course,A,15W,3,AUA Main Campus,Aram Butavyan,"TUE 12:00pm-1:15pm, THU 12:00pm-1:15pm",Classroom 414W Paramaz Avedissian Building,"This course introduces the fundamental concepts and methods of machine learning, focusing on how computers can learn from data to uncover hidden insights without explicit programming. Topics include supervised learning, unsupervised learning, and best practices in machine learning, with numerous examples from real-world applications. The course includes instructor-led discussions and problem sets to reinforce the material.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Masters level,Computer Science Program's core or track elective course
MACHINE LEARNING,CS340,No prerequisite(s) for this course,B,15W,3,AUA Main Campus,Sachin Kumar,"MON 2:30pm-3:20pm, WED 2:30pm-3:20pm, FRI 2:30pm-3:20pm",Classroom 307E Paramaz Avedissian Building,"This course introduces the fundamental concepts and methods of machine learning, focusing on how computers can learn from data to uncover hidden insights without explicit programming. Topics include supervised learning, unsupervised learning, and best practices in machine learning, with numerous examples from real-world applications. The course includes instructor-led discussions and problem sets to reinforce the material.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Masters level,Computer Science Program's core or track elective course
DATA VISUALIZATION,CS343,No prerequisite(s) for this course,A,15W,3,AUA Main Campus,Habet Madoyan,"MON 8:30am-9:20am, WED 8:30am-9:20am, FRI 8:30am-9:20am",Classroom 422M/424M Main Building,"Visualization is increasingly important in this era where the use of big data is growing in many different fields. This course is designed to introduce methodologies and tools for transforming the data into interesting and insightful visual representations, including interactive web visualizations. Students will learn basic visualization design and evaluation tools and techniques, and learn how to acquire, parse, and analyze large datasets. Students will also learn techniques for visualizing multivariate, temporal, text-based, geospatial, hierarchical, and network/graph-based data. Additionally, students will utilize tools such as R and ggplot2 to prototype many of these techniques on existing datasets. Instructor-led discussions and problem sets.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Masters level,Computer Science Program's core or track elective course
DATA VISUALIZATION,CS343,No prerequisite(s) for this course,B,15W,3,AUA Main Campus,Habet Madoyan,"MON 10:30am-11:20am, WED 10:30am-11:20am, FRI 10:30am-11:20am",Classroom 307E Paramaz Avedissian Building,"Visualization is increasingly important in this era where the use of big data is growing in many different fields. This course is designed to introduce methodologies and tools for transforming the data into interesting and insightful visual representations, including interactive web visualizations. Students will learn basic visualization design and evaluation tools and techniques, and learn how to acquire, parse, and analyze large datasets. Students will also learn techniques for visualizing multivariate, temporal, text-based, geospatial, hierarchical, and network/graph-based data. Additionally, students will utilize tools such as R and ggplot2 to prototype many of these techniques on existing datasets. Instructor-led discussions and problem sets.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Masters level,Computer Science Program's core or track elective course
BIOINFORMATICS,CS345,No prerequisite(s) for this course,0,15w,3,AUA Main Campus,Aleksandr Sarachakov,"TUE 9:00am-10:20am, THU 9:00am-10:20am",Classroom 212M Main Building,"The course starts with a brief introduction to molecular biology. The course then investigates the main algorithms used in Bioinformatics. After a brief description of commonly used tools, algorithms, and databases in Bioinformatics, the course describes specific tasks that can be completed using combinations of the tools and Databases. The course then focuses on the algorithms behind the most successful tools, such as the local and global sequence alignment packages: BLAST, SmithWaterman, and the underlying methods used in fragment assembly packages.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Masters level,Computer Science Program's core or track elective course
ARTIFICIAL INTELLIGENCE AND DECISION SUPPORT,CS346,No prerequisite(s) for this course,A,15W,3,AUA Main Campus,Vahram Tadevosyan,"TUE 10:30am-11:45am, THU 10:30am-11:45am",Classroom 314W Paramaz Avedissian Building,"This course provides an introduction to decision support techniques in the context of artificial intelligence. The main areas to be covered are knowledge-based agents, planning, reasoning under uncertainty and decision theory. Students will learn the principles of intelligent agent-based systems and implement agent programs that show rational behavior. Students will also learn logic programming. Instructor-led discussions and problem sets.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Masters level,Computer Science Program's core or track elective course
ARTIFICIAL INTELLIGENCE AND DECISION SUPPORT,CS346,No prerequisite(s) for this course,B,15W,3,AUA Main Campus,Monika Stepanyan,"MON 10:30am-11:20am, WED 10:30am-11:20am, FRI 10:30am-11:20am",Classroom 422M/424M Main Building,"This course provides an introduction to decision support techniques in the context of artificial intelligence. The main areas to be covered are knowledge-based agents, planning, reasoning under uncertainty and decision theory. Students will learn the principles of intelligent agent-based systems and implement agent programs that show rational behavior. Students will also learn logic programming. Instructor-led discussions and problem sets.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Masters level,Computer Science Program's core or track elective course
ARTIFICIAL INTELLIGENCE AND DECISION SUPPORT,CS346,No prerequisite(s) for this course,C,15W,3,AUA Main Campus,Monika Stepanyan,"MON 11:30am-12:20pm, WED 11:30am-12:20pm, FRI 11:30am-12:20pm",Classroom 422M/424M Main Building,"This course provides an introduction to decision support techniques in the context of artificial intelligence. The main areas to be covered are knowledge-based agents, planning, reasoning under uncertainty and decision theory. Students will learn the principles of intelligent agent-based systems and implement agent programs that show rational behavior. Students will also learn logic programming. Instructor-led discussions and problem sets.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Masters level,Computer Science Program's core or track elective course
SOFTWARE PROJECT MANAGEMENT,CS350,No prerequisite(s) for this course,0,15W,3,AUA Main Campus,Hayk Melkonyan,"TUE 9:00am-10:20am, THU 9:00am-10:20am",Classroom 416W Paramaz Avedissian Building,"Methods and procedures for managing a software development project. Includes notions of project planning, time, cost and resource estimation, project organizational types, staffing (team assembly) and training considerations, leading and motivating computer personnel, and methods for monitoring and controlling the progress of a project. Quality management and risk assessment are considered. Case Studies of successes and failures will be studied.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Masters level,Computer Science Program's core or track elective course
ENTREPRENEURSHIP,CS355,No prerequisite(s) for this course,0,15W,3,AUA Main Campus,Ruben Osipyan,"MON 9:30am-10:20am, WED 9:30am-10:20am, FRI 9:30am-10:20am",Classroom 315E Paramaz Avedissian Building,"Seminar exploring the complexities of creating and sustaining an entrepreneurial venture. We concentrate on the impact of innovative behavior and its implication to decision making. The primary focus of the course is on the behaviors involved in forming new enterprises: recognizing and evaluating opportunities, developing a network of support, building an organization, acquiring resources, identifying customers, estimating demand, selling, writing and presenting a business plan, and exploring the ethical issues entrepreneurs face. The course consists of case studies and discussion, inclass exercises, readings, guest speakers, and an outside project.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Masters level,Computer Science Program's core or track elective course
TIME SERIES ANALYSIS,CS362,No prerequisite(s) for this course,0,15w,3,AUA Main Campus,Sachin Kumar,"MON 12:30pm-1:20pm, WED 12:30pm-1:20pm, FRI 12:30pm-1:20pm",Classroom 408E Paramaz Avedissian Building,"This course will provide a systematic account of linear time series models and their application to the modelling and prediction of data collected sequentially in time. The topics covered include: difference equations, lag operators, stationary ARMA processes, forecasting, maximum likelihood estimation, spectral analysis, linear regression models, Kalman filter, and Fourier transform methods. Students will apply these methods to solve practical problems in signal processing, statistics, and economics. Three hours of instructor-led class per week including discussions and problem sets.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Masters level,Computer Science Program's core or track elective course
IMAGE PROCESSING,CS371,No prerequisite(s) for this course,0,15W,3,AUA Main Campus,Suren Khachatryan,"TUE 9:00am-10:15am, THU 9:00am-10:15am",Classroom 315E Paramaz Avedissian Building,"This course is an introduction to digital image processing. The course covers topics including: image analysis, Image representation and storage, image de-noising and restoration, compression techniques, two-dimensional discrete Fourier transform, spatial and frequency domain, linear and nonlinear image filtering, edge detection, image segmentation, and basics of digital video_x000D_ processing. Graduate students are expected to complete an individual or group project during the semester. Three hours of instructor-led class time per week including discussions and problem_x000D_ sets.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Masters level,Computer Science Program's core or track elective course
CAPSTONE PRACTICUM,CS390,CS395,0,15w,3,AUA Main Campus,Aram Hajian,TBD,Not specified,"Students will complete an 8-12 hour per week industry work experience in a computer-related_x000D_ position. Students will be supervised by assigned personnel at the field site and/or by a program-based_x000D_ instructor. Hours are arranged by mutual consent of the student and employer. Students are required to report periodically to the course instructor, maintain a log of on-the-job activities, and submit a final report regarding the practicum experience. No additional class time is required.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Masters level,Computer Science Program's core or track elective course
SPECIAL TOPICS IN COMPUTER SCIENCE,CS392,No prerequisite(s) for this course,A,15W,3,AUA Main Campus,Hayk Grigoryan,"TUE 9:00am-10:20am, THU 9:00am-10:20am",Classroom 314M Main Building,"This course explores topics in applied computer science with emphasis on current technologies, theories, and approaches.The spring 2020 course will investigate the field of distributed algorithms. Students will be_x000D_ introduced to the necessary background on NP-completeness and approximation_x000D_ algorithms. The core of the material will consist of distributed algorithms and_x000D_ impossibility results for different network models. Known classical distributed algorithms_x000D_ will be presented based on the current research papers from prominent conferences in_x000D_ the field. This will include introducing the notion of synchronous/asynchronous_x000D_ algorithms, randomized algorithms, self-stabilization and understanding of these topics_x000D_ under different network constraints. Lectures, readings, and discussions led by instructor with assessment by projects, problems sets, and exams.",Not part of any theme,202425,1,"No restrictions, except that any prerequisites must already be completed",Masters level,Computer Science Program's core or track elective course
